feature,statistic,pvalue,qvalue_bh
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva,44573.0,1.2552465114340998e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_haemolyticus,44605.0,1.3344476519822089e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae,44516.0,1.1252348429554153e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,44315.0,7.624699141468801e-07,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis,43898.0,3.3400797763181927e-07,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,44582.0,1.277052668569946e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_horneckiae,44272.0,7.010455672910266e-07,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_coagulans,44413.0,9.224364048592187e-07,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Microcoleaceae|g__Arthrospira|s__Arthrospira_platensis,44516.0,1.1252348429554153e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Weeksella|s__Weeksella_virosa,44606.0,1.3369985440902968e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp_426_9,44288.0,7.233225045222055e-07,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_gordonii,44576.0,1.2624751250169522e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_chinchillae,44586.0,1.286860837429389e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenella|s__Rikenella_microfusus,44510.0,1.1123288918434926e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_argenteus,44504.0,1.0995654472201413e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_viridescens,44577.0,1.2648935490234592e-06,3.5540199866984228e-06
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_malodoratus,44510.0,1.1123288918434926e-06,3.5540199866984228e-06
